"exp_name","cue_pred","subj","cond","block","trial","cue_delay","targ_right","cue_valid","targ_soa","shutter_dur","trial_start","trial_end","cue_rt","corr_resp","rt","block_date","block_time","block_order","Cond","CondFull","CuePred","CuePredFull","CueValid","cue_valid_c","cue_pred_c","RT"
"eb3",1,0,"a",1,46,0.371,1,1,0.6,0.086775582801252,142.85829615593,144.148214101791,0.319968938827515,1,0.220001935958862,"2020-03-06",1432,1,"Artificial","Artificial Blink","Predictive","Predictive Cue","Valid",1,1,220.001935958862
"eb3",1,0,"a",1,47,0.339,1,1,0.6,0.101473226359669,144.988323926926,146.788282155991,0.289960861206055,1,0.249993085861206,"2020-03-06",1432,1,"Artificial","Artificial Blink","Predictive","Predictive Cue","Valid",1,1,249.993085861206
"eb3",1,0,"a",1,48,0.428,0,0,0.6,0.104720556133368,147.628273963928,149.618308067322,0.390041828155518,1,0.369982957839966,"2020-03-06",1432,1,"Artificial","Artificial Blink","Predictive","Predictive Cue","Invalid",-1,1,369.982957839966
"eb3",1,0,"a",1,49,0.323,1,1,0.6,0.0897585888679092,150.45828294754,151.788201093674,0.410006999969482,1,0.310015201568604,"2020-03-06",1432,1,"Artificial","Artificial Blink","Predictive","Predictive Cue","Valid",1,1,310.015201568604
"eb3",1,0,"a",1,51,0.398,1,0,0.6,0.0921253752266143,154.848299026489,156.298249006271,0.249999046325684,1,0.389992952346802,"2020-03-06",1432,1,"Artificial","Artificial Blink","Predictive","Predictive Cue","Invalid",-1,1,389.992952346802
"eb3",1,0,"a",1,52,0.337,1,1,0.6,0.114939316006626,157.138285160065,158.478227138519,0.369999885559082,1,0.289983987808228,"2020-03-06",1432,1,"Artificial","Artificial Blink","Predictive","Predictive Cue","Valid",1,1,289.983987808228
"eb3",1,0,"a",1,53,0.361,0,1,0.6,0.0765891883089692,159.31828212738,160.678202152252,0.39996600151062,1,0.279983043670654,"2020-03-06",1432,1,"Artificial","Artificial Blink","Predictive","Predictive Cue","Valid",1,1,279.983043670654
"eb3",1,0,"a",1,54,0.488,0,0,0.6,0.10114334972673,161.518248081207,162.998185157776,0.30997896194458,1,0.299960136413574,"2020-03-06",1432,1,"Artificial","Artificial Blink","Predictive","Predictive Cue","Invalid",-1,1,299.960136413574
"eb3",1,0,"a",1,55,0.5,1,1,0.6,0.0666627058045527,163.838253974915,165.30819606781,0.379994869232178,1,0.239928960800171,"2020-03-06",1432,1,"Artificial","Artificial Blink","Predictive","Predictive Cue","Valid",1,1,239.928960800171
"eb3",1,0,"a",1,56,0.493,0,1,0.6,0.0943151025025579,166.14824795723,167.998219966888,0.309834957122803,1,0.259970188140869,"2020-03-06",1432,1,"Artificial","Artificial Blink","Predictive","Predictive Cue","Valid",1,1,259.970188140869
"eb3",1,0,"a",1,57,0.434,1,1,0.6,0.0869959411917043,168.838215112686,170.268152952194,0.410006999969482,1,0.289969921112061,"2020-03-06",1432,1,"Artificial","Artificial Blink","Predictive","Predictive Cue","Valid",1,1,289.969921112061
"eb3",1,0,"a",1,58,0.386,1,1,0.6,0.0941083679297614,171.108246088028,172.518145084381,0.330142974853516,1,0.289952993392944,"2020-03-06",1432,1,"Artificial","Artificial Blink","Predictive","Predictive Cue","Valid",1,1,289.952993392944
"eb3",1,0,"a",1,59,0.309,1,0,0.6,0.0892231076235726,173.358216047287,174.708151102066,0.3300461769104,1,0.350036144256592,"2020-03-06",1432,1,"Artificial","Artificial Blink","Predictive","Predictive Cue","Invalid",-1,1,350.036144256592
"eb3",1,0,"a",1,60,0.444,1,1,0.6,0.0878306214392097,175.528198957443,177.428163051605,0.309961080551147,1,0.27997899055481,"2020-03-06",1432,1,"Artificial","Artificial Blink","Predictive","Predictive Cue","Valid",1,1,279.97899055481
"eb3",1,0,"a",1,61,0.306,0,1,0.6,0.0952070823182875,178.268141031265,179.628118038177,0.399970054626465,1,0.289963006973267,"2020-03-06",1432,1,"Artificial","Artificial Blink","Predictive","Predictive Cue","Valid",1,1,289.963006973267
"eb3",1,0,"a",1,62,0.432,0,1,0.6,0.0639736661887736,180.468143939972,181.878147125244,0.320068120956421,1,0.279994964599609,"2020-03-06",1432,1,"Artificial","Artificial Blink","Predictive","Predictive Cue","Valid",1,1,279.994964599609
"eb3",1,0,"a",1,63,0.439,0,0,0.6,0.0883825234433862,182.718204021454,184.188133001328,0.399956941604614,1,0.359951972961426,"2020-03-06",1432,1,"Artificial","Artificial Blink","Predictive","Predictive Cue","Invalid",-1,1,359.951972961426
"eb3",1,0,"a",1,64,0.367,0,1,0.6,0.0960867907934471,185.02817606926,186.368091106415,0.329897880554199,1,0.259974956512451,"2020-03-06",1432,1,"Artificial","Artificial Blink","Predictive","Predictive Cue","Valid",1,1,259.974956512451
"eb3",1,0,"a",1,65,0.305,1,1,0.6,0.0859817177415192,187.208164930344,188.878160953522,0.37999701499939,1,0.270015954971313,"2020-03-06",1432,1,"Artificial","Artificial Blink","Predictive","Predictive Cue","Valid",1,1,270.015954971313
"eb3",1,0,"a",1,66,0.454,1,1,0.6,0.115324011112152,189.718111038208,191.128036022186,0.260078907012939,1,0.240022897720337,"2020-03-06",1432,1,"Artificial","Artificial Blink","Predictive","Predictive Cue","Valid",1,1,240.022897720337
"eb3",1,0,"a",1,69,0.444,1,1,0.6,0.0882534005722325,196.698116064072,198.178117036819,0.310029983520508,1,0.300019979476929,"2020-03-06",1432,1,"Artificial","Artificial Blink","Predictive","Predictive Cue","Valid",1,1,300.019979476929
"eb3",1,0,"a",1,70,0.485,0,1,0.6,0.115961313854632,199.018108129501,200.498094081879,0.280011892318726,1,0.279959917068481,"2020-03-06",1432,1,"Artificial","Artificial Blink","Predictive","Predictive Cue","Valid",1,1,279.959917068481
"eb3",1,0,"a",1,71,0.419,0,1,0.6,0.0918752887587636,201.338132143021,202.728032112122,0.279961109161377,1,0.269997119903564,"2020-03-06",1432,1,"Artificial","Artificial Blink","Predictive","Predictive Cue","Valid",1,1,269.997119903564
"eb3",1,0,"a",1,72,0.434,0,1,0.6,0.101661057916946,203.568042039871,204.99801492691,0.320008993148804,1,0.269853115081787,"2020-03-06",1432,1,"Artificial","Artificial Blink","Predictive","Predictive Cue","Valid",1,1,269.853115081787
"eb3",1,0,"a",1,73,0.395,1,1,0.6,0.101295042893541,205.838045120239,207.238074064255,0.389988899230957,1,0.299941062927246,"2020-03-06",1432,1,"Artificial","Artificial Blink","Predictive","Predictive Cue","Valid",1,1,299.941062927246
"eb3",1,0,"a",1,74,0.327,0,1,0.6,0.0808815477161059,208.078035116196,209.398044109344,0.320036888122559,1,0.289994955062866,"2020-03-06",1432,1,"Artificial","Artificial Blink","Predictive","Predictive Cue","Valid",1,1,289.994955062866
"eb3",1,0,"a",1,75,0.339,1,1,0.6,0.0664171006869918,210.218030929565,211.547996997833,0.319996118545532,1,0.270002126693726,"2020-03-06",1432,1,"Artificial","Artificial Blink","Predictive","Predictive Cue","Valid",1,1,270.002126693726
"eb3",1,0,"a",1,76,0.464,1,1,0.6,0.0543411308469188,212.388054132462,213.827990055084,0.300000905990601,1,0.279999017715454,"2020-03-06",1432,1,"Artificial","Artificial Blink","Predictive","Predictive Cue","Valid",1,1,279.999017715454
"eb3",1,0,"a",1,77,0.399,0,1,0.6,0.0967066981473399,214.668029069901,216.038064002991,0.289978981018066,1,0.260061025619507,"2020-03-06",1432,1,"Artificial","Artificial Blink","Predictive","Predictive Cue","Valid",1,1,260.061025619507
"eb3",1,0,"a",1,78,0.413,1,0,0.6,0.0799247914119249,216.878081083298,218.318030118942,0.380002975463867,1,0.330005884170532,"2020-03-06",1432,1,"Artificial","Artificial Blink","Predictive","Predictive Cue","Invalid",-1,1,330.005884170532
"eb3",1,0,"a",1,79,0.445,0,0,0.6,0.0967652247559568,219.158065080643,220.627998113632,0.280004024505615,1,0.340096950531006,"2020-03-06",1432,1,"Artificial","Artificial Blink","Predictive","Predictive Cue","Invalid",-1,1,340.096950531006
"eb3",1,0,"a",1,80,0.437,0,1,0.6,0.0941384140614508,221.468112945557,222.9180560112,0.289992809295654,1,0.299999952316284,"2020-03-06",1432,1,"Artificial","Artificial Blink","Predictive","Predictive Cue","Valid",1,1,299.999952316284
"eb3",1,0,"c",1,1,0.491,1,0,0.9,0,85.7342381477356,88.5840170383453,0.229975938796997,1,0.339997053146362,"2020-03-06",1320,1,"NoBlink","No Blink","Predictive","Predictive Cue","Invalid",-1,1,339.997053146362
"eb3",1,0,"c",1,2,0.402,0,1,0.9,0,89.4239370822906,91.8036930561066,0.249948978424072,1,0.260008096694946,"2020-03-06",1320,1,"NoBlink","No Blink","Predictive","Predictive Cue","Valid",1,1,260.008096694946
"eb3",1,0,"c",1,3,0.496,0,1,0.9,0,92.6436140537262,94.5735919475555,0.259986162185669,1,0.260067939758301,"2020-03-06",1320,1,"NoBlink","No Blink","Predictive","Predictive Cue","Valid",1,1,260.067939758301
"eb3",1,0,"c",1,4,0.425,1,1,0.9,0,95.4134891033173,97.3033120632172,0.319967985153198,1,0.289952993392944,"2020-03-06",1320,1,"NoBlink","No Blink","Predictive","Predictive Cue","Valid",1,1,289.952993392944
"eb3",1,0,"c",1,5,0.396,1,1,0.9,0,98.1432869434357,99.9230690002441,0.250015020370483,1,0.269959926605225,"2020-03-06",1320,1,"NoBlink","No Blink","Predictive","Predictive Cue","Valid",1,1,269.959926605225
